Pulse length,Time,Fidelity-0
1e-11,0.0,0.9999997391381422
1e-11,2.00010000500025e-14,0.9998344522704227
1e-11,4.0002000100005e-14,0.9993302752041042
1e-11,6.00030001500075e-14,0.9984789320165446
1e-11,8.000400020001e-14,0.9972764845867707
1e-11,1.000050002500125e-13,0.995723301316726
1e-11,1.20006000300015e-13,0.9938239312483969
1e-11,1.4050702535126757e-13,0.9915155031399395
1e-11,1.6050802540127005e-13,0.9888745517907915
1e-11,1.8050902545127256e-13,0.9858989351070228
1e-11,2.0051002550127507e-13,0.9826042040568634
1e-11,2.2051102555127756e-13,0.97900809849682
1e-11,2.4051202560128004e-13,0.9751299663437066
1e-11,2.6051302565128255e-13,0.9709900914628918
1e-11,2.8051402570128506e-13,0.9666676027823302
1e-11,3.0051502575128757e-13,0.962242068380023
1e-11,3.205160258012901e-13,0.9576427911122835
1e-11,3.4051702585129254e-13,0.9528875895134198
1e-11,3.6051802590129505e-13,0.9479908335763231
1e-11,3.8051902595129756e-13,0.9429618133430184
1e-11,4.0102005100255014e-13,0.9376717034122312
1e-11,4.210210510525526e-13,0.932392816299788
1e-11,4.410220511025551e-13,0.9269682362269713
1e-11,4.610230511525576e-13,0.9213137839781131
1e-11,4.810240512025601e-13,0.9151980784156241
1e-11,5.010250512525626e-13,0.907771032436317
1e-11,5.210260513025651e-13,0.9076915727023867
1e-11,5.410270513525676e-13,0.9076178015049171
1e-11,5.610280514025701e-13,0.9075495740611316
1e-11,5.810290514525726e-13,0.907486848019818
1e-11,6.010300515025751e-13,0.9074296846873228
1e-11,6.210310515525777e-13,0.9073782389635708
1e-11,6.415320766038302e-13,0.907331695617543
1e-11,6.615330766538327e-13,0.9072926423602071
1e-11,6.815340767038352e-13,0.9072602156762477
1e-11,7.015350767538377e-13,0.9072347692270398
1e-11,7.215360768038402e-13,0.9072166340287777
1e-11,7.415370768538426e-13,0.9072060865273072
1e-11,7.615380769038451e-13,0.9072033180584864
1e-11,7.815390769538477e-13,0.9072084237240938
1e-11,8.015400770038502e-13,0.9072213686493696
1e-11,8.215410770538527e-13,0.9072419877303346
1e-11,8.415420771038552e-13,0.9072699747724721
1e-11,8.615430771538577e-13,0.907304877101919
1e-11,8.815440772038602e-13,0.9073460972046619
1e-11,9.020451022551127e-13,0.9073941361348351
1e-11,9.220461023051151e-13,0.9074457707975231
1e-11,9.420471023551177e-13,0.907501127389801
1e-11,9.620481024051202e-13,0.9075591342569145
1e-11,9.820491024551227e-13,0.9076186362564773
1e-11,1.0020501025051252e-12,0.9076784150742336
